crt_nr,crt_name,crt_region,other_nr,int_area_m2
2133,Vernagt Ferner,Oetztaler_Alpen,14014,158.9632626204074
2122,Latsch Ferner,Oetztaler_Alpen,2124,38.14042389937259
2136,Rofenkar Ferner,Oetztaler_Alpen,14014,33.76053216846322
2093,Gamples Ferner N,Oetztaler_Alpen,2094,27.704323455669655
2034,Wütenkar Ferner,Stubaier_Alpen,2036,19.71954395451703
2091,Glaseir Ferner,Oetztaler_Alpen,2093,15.561346492917615
14008,Mittelberg Ferner,Oetztaler_Alpen,14014,13.438567702527205
14014,Taschach Ferner E,Oetztaler_Alpen,14015,5.705259831481214
7002,Gsall Ferner N,Oetztaler_Alpen,7003,5.334385646856312
4027,Pasterzen Kees,Glocknergruppe,6108,3.422906633017841
14033,Seekarles Ferner,Oetztaler_Alpen,14034,2.6554725714958956
2022,Sulztal Ferner,Stubaier_Alpen,2036,2.522326858538109
6034,Welitz Kees M,Venedigergruppe,6035,2.237391202779965
2127,Vernaglwand Ferner N,Oetztaler_Alpen,7022,0.12163116687908475
2128,Hintereiswände,Oetztaler_Alpen,7022,0.09426562066631552
9090,Stampfl Kees W,Zillertaler_Alpen,9091,2.9068608888849212e-05
9091,Stampfl Kees,Zillertaler_Alpen,9094,2.2760090239160036e-05
2072,Langtaler Ferner,Oetztaler_Alpen,2074,6.408562849141708e-07
2110,Marzell Ferner,Oetztaler_Alpen,2111,3.0646564752695185e-07
2129,Kesselwand Ferner,Oetztaler_Alpen,7022,2.1164386492779298e-10
